拠点ID,区市町村,名称,所在地,緯度１,経度１,緯度２,経度２,緯度３,経度３,緯度４,経度４,緯度５,経度５,緯度６,経度６,連絡先,連絡先詳細,入出庫可能時間,休業日,収容台数,一時利用/定期利用の別,一時利用部分の有料/無料の別,定期利用部分の有料/無料の別,ジャンル１,ジャンル２,備考,情報提供元
1011,千代田区,御茶ノ水駅自転車駐車場,東京都千代田区神田駿河台4-3先,35.698702,139.765556,,,,,,,,,,,03-5211-4345,,24時間,なし,80台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1012,千代田区,四ツ谷駅自転車駐車場,東京都千代田区六番町14先,35.686204,139.730727,,,,,,,,,,,03-5211-4345,,24時間,なし,160台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1013,千代田区,九段下駅第１自転車駐車場,東京都千代田区九段北1-2及び3先,35.695674,139.751705,,,,,,,,,,,03-5211-4345,,24時間,なし,35台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1014,千代田区,九段下駅第２自転車駐車場,東京都千代田区神田神保町3-7先,35.695371,139.753017,,,,,,,,,,,03-5211-4345,,24時間,なし,60台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1015,千代田区,有楽町駅第一高架下自転車駐車場,東京都千代田区有楽町2-1及び2-4先,35.673548,139.761415,,,,,,,,,,,03-5211-4345,,24時間,なし,50台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1016,千代田区,秋葉原駅東側駅前広場自転車駐車場,東京都千代田区神田花岡町1先,35.698893,139.773581,,,,,,,,,,,03-5211-4345,,24時間,なし,126台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1017,千代田区,秋葉原駅西側高架下自転車駐車場,東京都千代田区神田相生町1先,35.699377,139.77298,,,,,,,,,,,03-5211-4345,,24時間,なし,69台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1018,千代田区,秋葉原駅中央口高架下自転車駐車場,東京都千代田区神田花岡町1先,35.698347,139.774058,,,,,,,,,,,03-5211-4345,,24時間,なし,120台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1019,千代田区,水道橋駅東口自転車駐車場,東京都千代田区神田三崎町2-20先,35.702115,139.753706,,,,,,,,,,,03-5211-4345,,24時間,なし,62台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1020,千代田区,鍛冶橋高架下自転車駐車場,東京都千代田区丸の内1-10先及び丸の内3-7先,35.677697,139.765446,,,,,,,,,,,03-5211-4345,,24時間,なし,134台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1021,千代田区,大手町自転車駐車場,東京都千代田区大手町2-2先及び5先,35.6846162,139.767664,,,,,,,,,,,03-5211-4345,,24時間,なし,244台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1022,千代田区,和泉橋出張所横自転車駐車場,東京都神田佐久間町1-11先,35.6974238,139.775061,,,,,,,,,,,03-5211-4345,,24時間,なし,23台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1023,千代田区,秋葉原公園自転車駐車場,東京都神田佐久間町1-18,35.6979873,139.775023,,,,,,,,,,,03-5211-4345,,24時間,なし,44台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1024,千代田区,秋葉原駅東口第１自転車駐車場,東京都千代田区神田平河町4先,35.6982018,139.775493,,,,,,,,,,,03-5211-4345,,24時間,なし,30台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1025,千代田区,神保町交差点自転車駐車場,東京都千代田区神田神保町2-3-10,35.6956925,139.757441,,,,,,,,,,,03-5211-4345,,24時間,なし,64台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1026,千代田区,大手町高架下自転車駐車場,東京都千代田区大手町2-5-25先,35.6847342,139.768396,,,,,,,,,,,03-5211-4345,,24時間,なし,70台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1027,千代田区,大手町江戸通り自転車駐車場,東京都千代田区大手町2-5先,35.685339,139.7686,,,,,,,,,,,03-5211-4345,,24時間,なし,86台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1028,千代田区,常盤橋自転車駐車場,東京都千代田区大手町2-7-4先,35.6866529,139.769452,,,,,,,,,,,03-5211-4345,,24時間,なし,80台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1029,千代田区,秋葉原駅西側歩道橋下自転車駐車場,東京都千代田区外神田4-14-1先,35.699715,139.773078,,,,,,,,,,,03-5211-4345,,24時間,なし,35台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1040,千代田区,丸ノ内鍛冶橋駐輪場,東京都千代田区丸の内3-8-2,35.677006,139.766527,,,,,,,,,,,0120-3566-21,24時間受付コールセンター,24時間,なし,60台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,公益財団法人東京都道路整備保全公社
1041,千代田区,神田駅東自転車駐車場,東京都千代田区鍛冶町2-7,35.6928953,139.771783,,,,,,,,,,,03-5211-4345,,24時間,なし,11台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1042,千代田区　,有楽町駅自転車駐車場,東京都千代田区丸の内3-6先,35.67575,139.76387,,,,,,,,,,,03-5211-4345,,24時間,なし,33台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
2001,中央区,銀座六丁目地下駐輪場,東京都中央区銀座6-10-1先,35.6696126,139.764907,,,,,,,,,,,03-6274-6125,受付可能時間：10:00-21:00（無休）,24時間,なし,400台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2002,中央区,入船橋駐輪場,東京都中央区明石町1-34,35.669489,139.775469,,,,,,,,,,,03-3541-3586,受付可能時間：7:00-22:00（無休）,24時間,なし,184台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2003,中央区,築地市場駅地下駐輪場,東京都中央区築地5-1-1先,35.6648337,139.766942,,,,,,,,,,,03-3541-3586,受付可能時間：7:00-22:00（無休）,5:00-翌1:00,なし,516台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2004,中央区,備前橋第一駐輪場,東京都中央区築地7-1-15,35.6666804,139.773402,,,,,,,,,,,03-3541-3586,受付可能時間：7:00-22:00（無休）,24時間,なし,62台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2005,中央区,備前橋第二駐輪場,東京都中央区築地7-5-14,35.6664367,139.773153,,,,,,,,,,,03-3541-3586,受付可能時間：7:00-22:00（無休）,24時間,なし,84台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2006,中央区,備前橋第三駐輪場,東京都中央区築地7-5-16,35.66632,139.7734,,,,,,,,,,,03-3541-3586,受付可能時間：7:00-22:00（無休）,24時間,なし,80台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2007,中央区,八丁堀第一駐輪場,東京都中央区八丁堀4-5-14,35.6739741,139.77634,,,,,,,,,,,03-3541-3586,受付可能時間：7:00-22:00（無休）,24時間,なし,160台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2008,中央区,八丁堀第二駐輪場,東京都中央区八丁堀4-11-24,35.6739415,139.776855,,,,,,,,,,,03-3541-3586,受付可能時間：7:00-22:00（無休）,24時間,なし,101台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2009,中央区,人形町一丁目駐輪場,東京都中央区日本橋人形町1-12-11先,35.68379,139.783705,,,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,24時間,なし,125台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2010,中央区,人形町通り駐輪場,東京都中央区日本橋人形町1-14-8先、1-16-8先、1-17-8先、1-18-8先、2-1-3先、2-3-1先、2-4-1先、2-6-3先,35.68412,139.78415,35.68429,139.78422,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,24時間,なし,137台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2011,中央区,人形町二丁目地下駐輪場,東京都中央区日本橋人形町2-12-1,35.6847108,139.784573,,,,,,,,,,,03-5695-3160,受付可能時間：7:00-22:00（年末年始・祝日を除く毎日）,24時間,なし,204台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2012,中央区,人形町三丁目駐輪場,東京都中央区日本橋人形町3-8-1先,35.68656,139.78251,,,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,24時間,なし,52台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2013,中央区,蛎殻町駐輪場,東京都中央区日本橋蛎殻町2-1-1先,35.682,139.78683,,,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,24時間,なし,126台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2014,中央区,箱崎町駐輪場,東京都中央区日本橋箱崎町24-2,35.6804244,139.786501,,,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,24時間,なし,80台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2015,中央区,清杉通り駐輪場,東京都中央区日本橋横山町9-7先、東京都中央区東日本橋2-1-3先、2-1-5先、2-2-5先、2-15-5先、2-15-6先、3-7-16先、3-11-9先,35.6939856,139.785025,35.6916899,139.784978,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,24時間,なし,159台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2016,中央区,浜町公園地下駐輪場,東京都中央区日本橋浜町2-59-4,35.68892,139.78755,,,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,5:00-翌1:00,なし,262台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2017,中央区,日本橋二丁目地下駐輪場,東京都中央区日本橋2-10-8先,35.6808839,139.774714,,,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,5:00-翌1:00,なし,134台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2018,中央区,茅場町駐輪場,東京都中央区日本橋茅場町2-17-13,35.6790282,139.781096,,,,,,,,,,,03-3662-9913,受付可能時間：7:00-22:00（無休）,24時間,なし,100台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2019,中央区,月島駅前第一駐輪場,東京都中央区月島2-1-1先,35.66391,139.78539,,,,,,,,,,,03-3533-2935,受付可能時間：7:00-22:00（無休）,24時間,なし,500台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2020,中央区,月島駅地下駐輪場,東京都中央区月島2-10-3先,35.6633856,139.783684,,,,,,,,,,,03-3533-2935,受付可能時間：7:00-22:00（無休）,5:00-翌1:00,なし,777台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
2021,中央区,勝どき駅地下駐輪場,東京都中央区勝どき1-9-4先,35.65901,139.77716,,,,,,,,,,,03-3533-8036,受付可能時間：7:00-22:00（無休）,5:00-翌1:00,なし,855台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・中央区
4007,新宿区,曙橋駅自転車等駐車場,東京都新宿区片町5先,39.69278,139.72399,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,267台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4008,新宿区,曙橋駅自動二輪駐車場,東京都新宿区片町5先,39.69255,139.72469,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,18台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自動二輪駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4009,新宿区,飯田橋駅自転車等駐車場,東京都新宿区神楽河岸1先,35.7006,139.74295,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,171台,定期利用のみ,ー,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4010,新宿区,飯田橋駅駐輪場,東京都新宿区下宮比町1先,35.7028,139.74436,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,47台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4011,新宿区,市ヶ谷駅駐輪場,東京都新宿区市谷田町1-10地先、14地先、市谷田町2-5先、7先,35.69445,139.73773,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,62台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4012,新宿区,牛込神楽坂駅駐輪場Ａ,東京都新宿区箪笥町43地先,35.70076,139.73586,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,20台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4013,新宿区,牛込神楽坂駅駐輪場Ｂ,東京都新宿区箪笥町15地先,35.70042,139.73431,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,37台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4014,新宿区,牛込柳町駅自転車等駐車場Ａ,東京都新宿区原町1-10,35.69959,139.7252,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,134台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4015,新宿区,牛込柳町駅自転車等駐車場Ｂ,東京都新宿区原町2-6,35.69946,139.72424,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,32台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4016,新宿区,神楽坂駅駐輪場,東京都新宿区矢来町104,35.70355,139.7339,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,104台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4017,新宿区,国立競技場駅駐輪場,東京都新宿区霞が丘町10,35.67978,139.71439,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,９台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4018,新宿区,信濃町駅駐輪場Ａ,東京都新宿区霞が丘町12先,35.67999,139.71883,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,150台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4019,新宿区,信濃町駅駐輪場Ｂ,東京都新宿区南元町19先,35.67967,139.71986,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,41台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
